speed,count,start_time,calorie,end_time,distance
1.861111,15,2021-12-04 00:16:00,0.520000,2021-12-04 00:16:59,12.790000
1.611111,46,2021-12-04 00:17:00,1.530000,2021-12-04 00:17:59,35.930000
0.907001,33,2021-12-04 00:17:00,1.162461,2021-12-04 00:18:00,22.590000
0.320834,20,2021-12-04 00:19:00,1.469271,2021-12-04 00:20:00,16.200001
0.412903,8,2021-12-04 00:26:00,0.485665,2021-12-04 00:27:00,6.400000
0.400611,10,2021-12-04 00:28:00,0.447695,2021-12-04 00:29:00,5.740000
0.426286,23,2021-12-04 00:29:00,1.345318,2021-12-04 00:30:00,17.900000
1.150564,34,2021-12-04 00:30:00,1.239737,2021-12-04 00:31:00,26.330000
1.305556,40,2021-12-04 00:30:00,1.380000,2021-12-04 00:30:59,30.370000
0.832392,47,2021-12-04 00:31:00,1.840443,2021-12-04 00:32:00,33.705322
1.374230,74,2021-12-04 00:31:00,2.470000,2021-12-04 00:31:59,55.850000
0.916330,11,2021-12-04 00:32:00,0.341173,2021-12-04 00:33:00,7.194677
1.277778,6,2021-12-04 00:32:00,0.190000,2021-12-04 00:32:59,4.440000
0.041657,3,2021-12-04 00:33:00,0.792175,2021-12-04 00:34:00,1.650000
1.729884,78,2021-12-04 00:34:00,2.940000,2021-12-04 00:34:59,60.198000
1.393497,79,2021-12-04 00:34:00,3.083855,2021-12-04 00:35:00,67.509567
1.250000,12,2021-12-04 00:35:00,0.430000,2021-12-04 00:35:59,8.880000
1.058094,13,2021-12-04 00:35:00,0.373425,2021-12-04 00:36:00,7.744678
1.901105,22,2021-12-04 00:36:00,0.807442,2021-12-04 00:37:00,20.289106
1.401187,42,2021-12-04 00:36:00,1.400000,2021-12-04 00:36:59,31.711000
1.527778,81,2021-12-04 00:37:00,2.800000,2021-12-04 00:37:59,61.450000
1.331152,82,2021-12-04 00:37:00,3.111039,2021-12-04 00:38:00,67.326660
0.324287,8,2021-12-04 00:38:00,0.560455,2021-12-04 00:39:00,6.430000
0.526271,19,2021-12-04 00:43:00,0.973677,2021-12-04 00:44:00,14.530000
0.379721,9,2021-12-04 00:45:00,0.500789,2021-12-04 00:46:00,6.390000
1.971987,44,2021-12-04 00:45:00,1.620000,2021-12-04 00:45:59,36.040000
1.694444,9,2021-12-04 00:46:00,0.300000,2021-12-04 00:46:59,7.240000
0.489837,10,2021-12-04 00:50:00,0.418536,2021-12-04 00:51:00,6.100000
1.444444,48,2021-12-04 00:51:00,1.630000,2021-12-04 00:51:59,36.320000
1.527778,36,2021-12-04 00:52:00,1.170000,2021-12-04 00:52:59,28.050000
0.477297,22,2021-12-04 00:53:00,1.309878,2021-12-04 00:54:00,18.540001
1.344231,24,2021-12-04 00:54:00,0.830000,2021-12-04 00:54:59,17.551000
0.290230,10,2021-12-04 00:56:00,0.851724,2021-12-04 00:57:00,8.855324
0.760580,1,2021-12-04 00:57:00,0.000000,2021-12-04 00:58:00,0.264676
0.461436,17,2021-12-04 00:58:00,1.120516,2021-12-04 00:59:00,15.660000
1.863081,80,2021-12-04 00:59:00,3.130000,2021-12-04 00:59:59,67.029000
1.821864,58,2021-12-04 00:59:00,2.266898,2021-12-04 01:00:00,54.399708
1.051683,55,2021-12-04 01:00:00,2.869454,2021-12-04 01:01:00,57.620636
1.722222,77,2021-12-04 01:00:00,2.660000,2021-12-04 01:00:59,61.860000
1.241158,99,2021-12-04 01:01:00,3.617055,2021-12-04 01:02:00,76.136749
1.569425,96,2021-12-04 01:01:00,3.090000,2021-12-04 01:01:59,75.091000
1.730116,88,2021-12-04 01:02:00,3.458606,2021-12-04 01:03:00,80.923149
1.771386,89,2021-12-04 01:02:00,3.230000,2021-12-04 01:02:59,72.669000
1.527368,102,2021-12-04 01:03:00,4.115867,2021-12-04 01:04:00,91.734718
1.670845,110,2021-12-04 01:03:00,4.220000,2021-12-04 01:03:59,84.259000
1.502169,95,2021-12-04 01:04:00,6.170000,2021-12-04 01:04:59,62.189000
1.349146,77,2021-12-04 01:04:00,3.014668,2021-12-04 01:05:00,65.415962
2.305556,49,2021-12-04 01:05:00,2.330000,2021-12-04 01:05:59,43.250000
2.080915,43,2021-12-04 01:05:00,1.731761,2021-12-04 01:06:00,42.706882
1.872867,120,2021-12-04 01:06:00,4.709764,2021-12-04 01:07:00,111.870705
1.544862,120,2021-12-04 01:06:00,3.600000,2021-12-04 01:06:59,93.721000
1.625379,48,2021-12-04 01:07:00,1.520000,2021-12-04 01:07:59,37.979000
1.603663,36,2021-12-04 01:07:00,1.279393,2021-12-04 01:08:00,29.308228
1.487941,57,2021-12-04 01:08:00,1.960000,2021-12-04 01:08:59,43.580000
0.640405,45,2021-12-04 01:08:00,1.869260,2021-12-04 01:09:00,30.280947
1.647054,110,2021-12-04 01:09:00,3.590000,2021-12-04 01:09:59,87.049000
1.485157,77,2021-12-04 01:09:00,3.159619,2021-12-04 01:10:00,70.471161
1.500000,6,2021-12-04 01:10:00,0.200000,2021-12-04 01:10:59,4.660000
1.500000,24,2021-12-04 01:14:00,0.810000,2021-12-04 01:14:59,18.180000
1.000000,50,2021-12-04 01:18:00,1.880000,2021-12-04 01:18:59,35.599000
0.920122,54,2021-12-04 01:18:00,1.954492,2021-12-04 01:19:00,37.610001
1.333333,27,2021-12-04 01:20:00,1.010000,2021-12-04 01:20:59,20.550000
0.696310,14,2021-12-04 01:35:00,0.665415,2021-12-04 01:36:00,11.500000
0.731202,34,2021-12-04 01:41:00,1.580729,2021-12-04 01:42:00,27.660000
1.111111,33,2021-12-04 01:41:00,1.200000,2021-12-04 01:41:59,23.810000
1.361111,15,2021-12-04 01:50:00,0.520000,2021-12-04 01:50:59,11.240000
0.099172,11,2021-12-04 02:08:00,1.974147,2021-12-04 02:09:00,8.910000
2.033811,16,2021-12-04 02:09:00,0.510343,2021-12-04 02:10:00,13.760000
1.555556,20,2021-12-04 02:14:00,0.680000,2021-12-04 02:14:59,15.760000
1.352002,91,2021-12-04 02:15:00,3.100000,2021-12-04 02:15:59,68.800000
1.222077,64,2021-12-04 02:15:00,2.229681,2021-12-04 02:16:00,47.259998
1.626968,37,2021-12-04 02:17:00,1.380000,2021-12-04 02:17:59,30.130000
0.355869,10,2021-12-04 02:18:00,0.518910,2021-12-04 02:19:00,6.300000
0.644592,49,2021-12-04 02:19:00,1.875656,2021-12-04 02:20:00,30.879999
1.514303,111,2021-12-04 02:19:00,3.580000,2021-12-04 02:19:59,85.639000
1.087544,91,2021-12-04 02:20:00,3.095300,2021-12-04 02:21:00,61.990002
1.508275,94,2021-12-04 02:20:00,2.970000,2021-12-04 02:20:59,72.460000
1.194444,11,2021-12-04 02:21:00,0.390000,2021-12-04 02:21:59,8.040000
1.047928,68,2021-12-04 02:22:00,2.491752,2021-12-04 02:23:00,49.400002
1.442175,73,2021-12-04 02:22:00,2.480000,2021-12-04 02:22:59,54.162000
1.706324,67,2021-12-04 02:23:00,2.140000,2021-12-04 02:23:59,53.150000
0.292110,23,2021-12-04 02:23:00,1.507950,2021-12-04 02:24:00,15.539289
0.787574,45,2021-12-04 02:24:00,1.603962,2021-12-04 02:25:00,28.640711
1.385595,75,2021-12-04 02:24:00,2.510000,2021-12-04 02:24:59,56.688000
1.628380,110,2021-12-04 02:25:00,3.490000,2021-12-04 02:25:59,87.791000
0.630429,45,2021-12-04 02:25:00,1.814575,2021-12-04 02:26:00,29.540001
1.643954,103,2021-12-04 02:26:00,3.310000,2021-12-04 02:26:59,81.469000
0.484750,42,2021-12-04 02:26:00,1.909199,2021-12-04 02:27:00,27.139999
1.506132,78,2021-12-04 02:27:00,2.680000,2021-12-04 02:27:59,60.490000
0.260373,10,2021-12-04 02:27:00,0.712932,2021-12-04 02:28:00,6.774720
1.043701,91,2021-12-04 02:28:00,3.172717,2021-12-04 02:29:00,62.632362
1.612567,85,2021-12-04 02:28:00,2.880000,2021-12-04 02:28:59,67.729000
0.505940,39,2021-12-04 02:29:00,1.840872,2021-12-04 02:30:00,26.702915
1.902541,98,2021-12-04 02:29:00,3.100000,2021-12-04 02:29:59,79.640000
1.629205,107,2021-12-04 02:30:00,3.510000,2021-12-04 02:30:59,84.759000
0.060758,5,2021-12-04 02:30:00,1.109447,2021-12-04 02:31:00,3.250000
1.472222,88,2021-12-04 02:31:00,2.870000,2021-12-04 02:31:59,67.320000
0.393160,25,2021-12-04 02:31:00,1.428122,2021-12-04 02:32:00,17.750000
0.932942,46,2021-12-04 02:32:00,1.675485,2021-12-04 02:33:00,32.279999
1.642721,104,2021-12-04 02:32:00,3.320000,2021-12-04 02:32:59,81.941000
1.449993,92,2021-12-04 02:33:00,3.010000,2021-12-04 02:33:59,69.900000
0.567270,27,2021-12-04 02:33:00,1.159233,2021-12-04 02:34:00,17.750000
0.395115,43,2021-12-04 02:34:00,2.384968,2021-12-04 02:35:00,29.840000
1.677806,96,2021-12-04 02:34:00,3.270000,2021-12-04 02:34:59,77.620000
0.228479,20,2021-12-04 02:35:00,1.556650,2021-12-04 02:36:00,13.650000
1.546535,111,2021-12-04 02:35:00,3.480000,2021-12-04 02:35:59,86.470000
1.510540,112,2021-12-04 02:36:00,3.660000,2021-12-04 02:36:59,87.000000
1.518010,107,2021-12-04 02:37:00,3.450000,2021-12-04 02:37:59,83.099000
0.858277,57,2021-12-04 02:37:00,2.108356,2021-12-04 02:38:00,38.630001
1.408160,100,2021-12-04 02:38:00,3.270000,2021-12-04 02:38:59,76.071000
0.337616,29,2021-12-04 02:38:00,1.765921,2021-12-04 02:39:00,20.160000
0.551421,48,2021-12-04 02:39:00,2.175891,2021-12-04 02:40:00,32.770000
1.560082,92,2021-12-04 02:39:00,3.200000,2021-12-04 02:39:59,72.959000
1.578120,108,2021-12-04 02:40:00,3.630000,2021-12-04 02:40:59,86.671000
0.132817,11,2021-12-04 02:40:00,1.396493,2021-12-04 02:41:00,8.030000
1.623586,111,2021-12-04 02:41:00,3.510000,2021-12-04 02:41:59,88.260000
0.256329,20,2021-12-04 02:41:00,1.309874,2021-12-04 02:42:00,12.360000
0.741864,27,2021-12-04 02:42:00,1.033654,2021-12-04 02:43:00,18.280001
1.375508,67,2021-12-04 02:42:00,2.260000,2021-12-04 02:42:59,50.790000
0.070843,3,2021-12-04 02:43:00,0.786647,2021-12-04 02:44:00,2.640000
1.444444,41,2021-12-04 02:43:00,1.450000,2021-12-04 02:43:59,30.670000
1.576131,88,2021-12-04 02:48:00,2.980000,2021-12-04 02:48:59,68.610000
0.473484,43,2021-12-04 02:48:00,2.026447,2021-12-04 02:49:00,28.215502
0.514819,45,2021-12-04 02:49:00,2.034327,2021-12-04 02:50:00,29.454496
1.495552,93,2021-12-04 02:49:00,3.100000,2021-12-04 02:49:59,71.639000
0.537944,51,2021-12-04 02:50:00,2.186491,2021-12-04 02:51:00,32.776535
1.611111,107,2021-12-04 02:50:00,3.460000,2021-12-04 02:50:59,84.920000
0.404352,29,2021-12-04 02:51:00,1.572889,2021-12-04 02:52:00,19.813465
1.628291,113,2021-12-04 02:51:00,3.590000,2021-12-04 02:51:59,88.970000
0.493076,13,2021-12-04 02:52:00,0.594716,2021-12-04 02:53:00,8.390000
1.525299,61,2021-12-04 02:52:00,2.070000,2021-12-04 02:52:59,47.069000
0.354431,27,2021-12-04 02:53:00,1.401958,2021-12-04 02:54:00,16.450001
1.722222,118,2021-12-04 02:53:00,3.790000,2021-12-04 02:53:59,94.840000
0.524001,41,2021-12-04 02:54:00,1.979361,2021-12-04 02:55:00,29.150000
1.776754,105,2021-12-04 02:54:00,3.440000,2021-12-04 02:54:59,86.710000
0.819116,59,2021-12-04 02:55:00,2.233401,2021-12-04 02:56:00,40.619999
1.797003,114,2021-12-04 02:55:00,3.750000,2021-12-04 02:55:59,93.859000
1.861183,112,2021-12-04 02:56:00,3.970000,2021-12-04 02:56:59,92.859000
0.884127,56,2021-12-04 02:56:00,2.384624,2021-12-04 02:57:00,44.520000
1.851654,84,2021-12-04 02:57:00,3.310000,2021-12-04 02:57:59,71.029000
1.204342,60,2021-12-04 02:57:00,2.265878,2021-12-04 02:58:00,47.880001
1.876647,107,2021-12-04 02:58:00,4.330000,2021-12-04 02:58:59,90.521000
0.881299,52,2021-12-04 02:58:00,2.094425,2021-12-04 02:59:00,38.990002
1.328572,106,2021-12-04 02:59:00,3.852490,2021-12-04 03:00:00,83.331421
1.831262,120,2021-12-04 02:59:00,4.290000,2021-12-04 02:59:59,100.220000
1.757475,79,2021-12-04 03:00:00,2.600000,2021-12-04 03:00:59,64.570000
1.465837,90,2021-12-04 03:00:00,3.463097,2021-12-04 03:01:00,76.669136
0.339279,18,2021-12-04 03:01:00,0.929532,2021-12-04 03:02:00,10.805520
1.687610,80,2021-12-04 03:01:00,2.570000,2021-12-04 03:01:59,63.730000
1.722222,65,2021-12-04 03:03:00,2.110000,2021-12-04 03:03:59,53.250000
1.070338,44,2021-12-04 03:03:00,1.451097,2021-12-04 03:04:00,29.150000
1.166667,20,2021-12-04 03:04:00,0.710000,2021-12-04 03:04:59,14.290000
0.687761,13,2021-12-04 03:04:00,0.537037,2021-12-04 03:05:00,9.360000
1.379361,16,2021-12-04 03:12:00,0.382725,2021-12-04 03:13:00,9.440000
1.361111,48,2021-12-04 03:30:00,1.660000,2021-12-04 03:30:59,36.500000
1.250093,37,2021-12-04 03:30:00,1.251314,2021-12-04 03:31:00,27.484053
0.903529,1,2021-12-04 03:31:00,0.000000,2021-12-04 03:32:00,0.365948
1.544304,41,2021-12-04 03:31:00,1.420000,2021-12-04 03:31:59,31.670000
1.194444,52,2021-12-04 03:38:00,1.740000,2021-12-04 03:38:59,37.810000
1.135204,51,2021-12-04 03:38:00,1.731426,2021-12-04 03:39:00,35.402565
1.166667,71,2021-12-04 03:39:00,4.480000,2021-12-04 03:39:59,42.060000
0.813157,61,2021-12-04 03:39:00,2.314683,2021-12-04 03:40:00,42.107437
1.376840,68,2021-12-04 03:42:00,2.380000,2021-12-04 03:42:59,50.900000
1.344565,53,2021-12-04 03:42:00,2.192985,2021-12-04 03:43:00,47.372551
1.666311,119,2021-12-04 03:43:00,4.386807,2021-12-04 03:44:00,100.255913
1.596833,122,2021-12-04 03:43:00,3.670000,2021-12-04 03:43:59,95.810000
1.927905,122,2021-12-04 03:44:00,4.815300,2021-12-04 03:45:00,115.660004
1.584333,121,2021-12-04 03:44:00,3.630000,2021-12-04 03:44:59,95.060000
1.575500,121,2021-12-04 03:45:00,3.630000,2021-12-04 03:45:59,94.530000
1.955587,120,2021-12-04 03:45:00,4.950895,2021-12-04 03:46:00,117.462608
1.834595,122,2021-12-04 03:46:00,4.636378,2021-12-04 03:47:00,109.509926
1.583333,121,2021-12-04 03:46:00,3.630000,2021-12-04 03:46:59,93.410000
1.805556,129,2021-12-04 03:47:00,5.040000,2021-12-04 03:47:59,93.910000
2.004325,127,2021-12-04 03:47:00,5.045935,2021-12-04 03:48:00,120.746361
3.345342,161,2021-12-04 03:48:00,13.947927,2021-12-04 03:49:00,200.185150
2.394854,140,2021-12-04 03:48:00,9.260000,2021-12-04 03:48:59,137.961000
3.717691,169,2021-12-04 03:49:00,15.636495,2021-12-04 03:50:00,223.842484
2.556997,150,2021-12-04 03:49:00,10.040000,2021-12-04 03:49:59,151.660000
2.843582,141,2021-12-04 03:50:00,11.280000,2021-12-04 03:50:59,151.381000
3.920012,179,2021-12-04 03:50:00,16.151789,2021-12-04 03:51:00,234.802475
2.201782,96,2021-12-04 03:51:00,4.344779,2021-12-04 03:52:00,106.692207
2.277778,109,2021-12-04 03:51:00,5.880000,2021-12-04 03:51:59,101.350000
1.194444,20,2021-12-04 03:52:00,0.700000,2021-12-04 03:52:59,14.430000
1.611111,17,2021-12-04 04:42:00,0.580000,2021-12-04 04:42:59,13.690000
1.666667,110,2021-12-04 04:43:00,3.960000,2021-12-04 04:43:59,90.660000
1.415357,102,2021-12-04 04:43:00,3.897445,2021-12-04 04:44:00,86.023270
1.400945,86,2021-12-04 04:44:00,3.095475,2021-12-04 04:45:00,68.223618
1.388889,78,2021-12-04 04:44:00,2.710000,2021-12-04 04:44:59,58.980000
0.027568,1,2021-12-04 04:45:00,0.297814,2021-12-04 04:46:00,0.433112
0.711242,13,2021-12-04 04:50:00,0.673179,2021-12-04 04:51:00,12.080000
1.250000,25,2021-12-04 04:50:00,0.880000,2021-12-04 04:50:59,18.440000
0.880922,29,2021-12-04 05:09:00,1.284884,2021-12-04 05:10:00,23.987223
1.333333,25,2021-12-04 05:09:00,0.900000,2021-12-04 05:09:59,18.760000
2.245160,119,2021-12-04 05:10:00,5.423636,2021-12-04 05:11:00,134.676178
1.544500,119,2021-12-04 05:10:00,3.610000,2021-12-04 05:10:59,92.670000
2.000283,120,2021-12-04 05:11:00,4.954083,2021-12-04 05:12:00,119.479904
1.551836,121,2021-12-04 05:11:00,3.630000,2021-12-04 05:11:59,94.670000
2.207843,120,2021-12-04 05:12:00,5.352081,2021-12-04 05:13:00,132.049042
1.555556,117,2021-12-04 05:12:00,3.510000,2021-12-04 05:12:59,91.470000
1.527778,38,2021-12-04 05:13:00,1.270000,2021-12-04 05:13:59,28.960000
1.473439,14,2021-12-04 05:13:00,0.401071,2021-12-04 05:14:00,10.260129
0.215589,11,2021-12-04 05:14:00,1.090529,2021-12-04 05:15:00,9.240000
0.802996,33,2021-12-04 05:15:00,1.486838,2021-12-04 05:16:00,26.799999
1.506936,76,2021-12-04 05:15:00,2.680000,2021-12-04 05:15:59,58.560000
1.194444,15,2021-12-04 05:25:00,0.530000,2021-12-04 05:25:59,10.940000
0.496500,9,2021-12-04 05:26:00,0.561513,2021-12-04 05:27:00,8.288282
1.142366,1,2021-12-04 05:27:00,0.000000,2021-12-04 05:28:00,0.171718
1.777778,15,2021-12-04 05:28:00,0.520000,2021-12-04 05:28:59,11.970000
1.442855,18,2021-12-04 05:33:00,0.630000,2021-12-04 05:33:59,13.709000
1.192990,35,2021-12-04 05:38:00,1.220000,2021-12-04 05:38:59,25.579000
0.122396,3,2021-12-04 05:38:00,0.458724,2021-12-04 05:39:00,2.490000
1.444444,9,2021-12-04 05:39:00,0.310000,2021-12-04 05:39:59,6.920000
0.483849,8,2021-12-04 05:40:00,0.312151,2021-12-04 05:41:00,4.400000
0.648791,9,2021-12-04 05:51:00,0.440485,2021-12-04 05:52:00,7.380000
1.073667,53,2021-12-04 12:36:00,2.046395,2021-12-04 12:37:00,40.900002
1.354166,28,2021-12-04 13:09:00,0.944531,2021-12-04 13:10:00,21.180000
1.143304,41,2021-12-04 13:35:00,1.683472,2021-12-04 13:36:00,34.709999
0.168764,2,2021-12-04 13:58:00,0.244431,2021-12-04 13:59:00,1.820965
0.292727,11,2021-12-04 13:59:00,0.911103,2021-12-04 14:00:00,9.479034
0.670198,16,2021-12-04 14:15:00,0.814795,2021-12-04 14:16:00,13.760000
0.764878,14,2021-12-04 14:16:00,0.613436,2021-12-04 14:17:00,10.780000
0.548089,14,2021-12-04 14:17:00,0.551569,2021-12-04 14:18:00,8.400000
0.577893,5,2021-12-04 14:18:00,0.264179,2021-12-04 14:19:00,4.200000
0.656052,10,2021-12-04 14:44:00,0.563920,2021-12-04 14:45:00,9.400000
0.705135,26,2021-12-04 16:12:00,1.214382,2021-12-04 16:13:00,20.986732
1.619098,8,2021-12-04 16:14:00,0.357895,2021-12-04 16:15:00,8.554402
0.492680,19,2021-12-04 16:15:00,0.944202,2021-12-04 16:16:00,13.640000
1.281178,29,2021-12-04 16:23:00,1.030142,2021-12-04 16:24:00,22.338440
0.213526,15,2021-12-04 16:24:00,1.035917,2021-12-04 16:25:00,8.721560
0.660769,22,2021-12-04 17:12:00,0.889533,2021-12-04 17:13:00,14.950000
1.078857,18,2021-12-04 19:18:00,0.486191,2021-12-04 19:19:00,10.620000
1.173709,32,2021-12-04 19:24:00,1.256285,2021-12-04 19:25:00,26.059999
1.016633,30,2021-12-04 19:41:00,1.091977,2021-12-04 19:42:00,22.080000
1.443337,22,2021-12-04 19:42:00,0.790402,2021-12-04 19:43:00,18.379999
0.885491,13,2021-12-04 20:10:00,0.525105,2021-12-04 20:11:00,10.280000
1.406034,30,2021-12-04 20:11:00,1.099126,2021-12-04 20:12:00,24.320000
0.782532,16,2021-12-04 20:12:00,0.621469,2021-12-04 20:13:00,10.960000
0.682884,36,2021-12-04 21:31:00,1.851843,2021-12-04 21:32:00,31.160000
0.212846,7,2021-12-04 21:40:00,0.698647,2021-12-04 21:41:00,5.820000
0.777444,33,2021-12-04 22:22:00,1.592110,2021-12-04 22:23:00,28.444450
0.761809,4,2021-12-04 22:23:00,0.174868,2021-12-04 22:24:00,3.635549
0.567879,16,2021-12-04 23:25:00,0.636045,2021-12-04 23:26:00,10.000000
0.496327,8,2021-12-04 23:40:00,0.315801,2021-12-04 23:41:00,4.560000
